,Date,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
82,2023-01-11,1432.4659,2517.2578,416.9007,1471.2500,2526.1499,418.2000,1494.0000,2558.0000,420.0000,1464.0000,2521.1001,413.5500,1470.0000,2552.5000,415.7500,6173092,5311657,22224361
83,2023-01-12,1441.5696,2462.9001,410.9691,1480.6000,2471.6001,412.2500,1485.0000,2532.5000,420.5000,1455.0000,2465.0000,410.0500,1481.9500,2524.8501,420.3000,6591385,8163366,12479034
84,2023-01-13,1464.0120,2458.9141,410.2215,1503.6500,2467.6001,411.5000,1519.4000,2472.8999,416.3500,1468.0000,2434.6001,408.0000,1483.5000,2458.3999,413.0000,11610426,9515473,10449630
85,2023-01-16,1485.2859,2435.4968,411.7168,1525.5000,2444.1001,413.0000,1528.0000,2479.6499,414.9000,1502.3000,2427.0000,407.6000,1510.0000,2472.7000,413.5000,6073063,6287407,11462140
86,2023-01-17,1498.9169,2470.0747,414.0096,1539.5000,2478.8000,415.3000,1542.2000,2483.0000,419.4500,1524.0000,2450.6001,412.5000,1527.0000,2458.0000,413.0000,5922644,4961585,12337969
87,2023-01-18,1504.6614,2465.9890,407.1311,1545.4000,2474.7000,408.4000,1551.8500,2491.1001,415.9500,1539.6000,2460.3501,407.4500,1544.7500,2473.5000,415.9000,5843098,6206382,13310316
88,2023-01-19,1498.3326,2463.3484,399.5049,1538.9000,2472.0500,400.7500,1549.5500,2481.1499,407.8000,1526.1500,2456.6499,400.1000,1539.9000,2472.8999,406.5000,6165284,5510333,13126520
89,2023-01-20,1485.3347,2434.0518,401.8974,1525.5500,2442.6499,403.1500,1545.0000,2475.0000,412.5000,1524.0000,2437.2500,401.2000,1538.0000,2475.0000,404.0000,6496429,6890325,23906114
90,2023-01-23,1507.1929,2421.7454,407.1311,1548.0000,2430.3000,408.4000,1553.3000,2466.2000,410.9500,1528.1000,2425.0000,405.0000,1535.0000,2449.0000,407.0000,4855020,5055324,13113183
91,2023-01-24,1510.9900,2407.4458,420.8384,1551.9000,2415.9500,422.1500,1568.8000,2443.6499,424.0000,1549.7500,2387.3501,410.0000,1560.0000,2440.0000,410.0000,5200802,7609558,30197475
92,2023-01-25,1502.3246,2374.1633,417.7480,1543.0000,2382.5500,419.0500,1556.0000,2414.7000,427.2500,1538.7500,2380.0000,417.7000,1547.0000,2412.4500,423.7500,4158617,5715684,22975581
93,2023-01-27,1479.1033,2329.1226,444.2155,1519.1500,2337.3501,445.6000,1550.9500,2387.3501,453.4000,1507.4000,2311.6499,435.1500,1546.0000,2384.3999,438.0000,6209955,11920991,63360467
94,2023-01-30,1498.2354,2351.4436,442.2716,1538.8000,2359.7500,443.6500,1544.0000,2371.8999,450.0000,1520.0000,2301.0000,437.6500,1528.8000,2331.7000,445.6000,6964719,10047822,18316743
95,2023-01-31,1493.3185,2345.5645,450.6953,1533.7500,2353.8501,452.1000,1548.9000,2387.6499,454.8000,1513.0000,2341.0000,440.9000,1548.9000,2382.0000,443.7000,9448126,10472167,25154475
96,2023-02-01,1510.2111,2331.6633,445.2622,1551.1000,2339.8999,446.6500,1555.0500,2379.9500,461.5000,1528.0500,2305.0000,437.6500,1542.2000,2379.9500,456.8000,6194199,8929007,23798589
97,2023-02-02,1542.0005,2318.7590,443.4180,1583.7500,2326.9500,444.8000,1586.9500,2348.0000,449.2000,1552.0000,2311.0000,440.7000,1552.0000,2318.0000,446.7500,6916834,6305317,11344554
98,2023-02-03,1557.2378,2320.8020,444.0660,1599.4000,2329.0000,445.4500,1604.6500,2349.0000,450.8000,1573.0000,2293.0000,442.3500,1597.5000,2349.0000,447.0000,7040194,11398850,13067403
99,2023-02-06,1528.4668,2303.3137,440.6267,1569.8500,2311.4500,442.0000,1598.0000,2321.0000,447.0000,1561.6000,2305.8000,439.5500,1598.0000,2315.0000,444.4500,4570612,6847679,6795084
100,2023-02-07,1521.2131,2297.7832,434.0971,1562.4000,2305.8999,435.4500,1576.0500,2327.3999,443.4000,1555.1000,2293.0000,432.9000,1569.0000,2312.0000,441.7000,4336238,6985001,9023645
101,2023-02-08,1548.5724,2343.6711,438.7326,1590.5000,2351.9500,440.1000,1603.0000,2359.8999,441.0000,1565.5000,2307.0000,431.5500,1565.5000,2313.0000,435.4500,7983338,9765490,8668267
102,2023-02-09,1574.3739,2347.7568,435.3930,1617.0000,2356.0500,436.7500,1619.7500,2370.8501,440.7000,1586.0500,2334.0000,433.5500,1596.2000,2353.4500,440.0000,6904911,6079228,7349418
103,2023-02-10,1566.1466,2328.4248,444.4648,1608.5500,2336.6499,445.8500,1616.3000,2354.8999,447.8000,1596.4500,2321.3000,431.2000,1612.9500,2354.8999,437.9500,4786762,4979789,14798390
104,2023-02-13,1526.1301,2315.1719,439.6796,1567.4500,2323.3501,441.0500,1597.0000,2350.0000,446.9000,1566.0000,2313.5500,438.9000,1597.0000,2340.2000,445.5000,4001199,4777674,8333767
105,2023-02-14,1551.2499,2369.7292,439.1812,1593.2500,2378.1001,440.5500,1596.0000,2381.8999,444.3000,1578.1500,2323.6499,434.4000,1584.7000,2329.9500,442.0000,5043736,6609564,8565559
106,2023-02-15,1554.9498,2423.3894,442.7700,1597.0500,2431.9500,444.1500,1599.0000,2437.2000,444.9000,1576.0000,2373.0000,438.1500,1584.0000,2376.0000,438.5000,3465747,15461902,9857016
107,2023-02-16,1559.5746,2421.4963,440.2279,1601.8000,2430.0500,441.6000,1614.4500,2463.8000,448.2500,1597.8500,2425.0500,440.5000,1600.0000,2449.4500,445.0000,4290289,7967558,7670688
108,2023-02-17,1542.0491,2431.6104,438.5332,1583.8000,2440.2000,439.9000,1595.0000,2447.5000,442.4500,1575.5000,2410.6001,436.0000,1594.0000,2420.0000,436.0000,2857734,5450092,6955445
109,2023-02-20,1550.4709,2405.9011,441.6236,1592.4500,2414.3999,443.0000,1603.0000,2449.7500,445.3000,1582.5000,2410.1001,436.2500,1584.9500,2445.0000,441.8000,2417716,4078245,9717197
110,2023-02-21,1537.8624,2425.5320,435.1438,1579.5000,2434.1001,436.5000,1601.6500,2446.8000,445.2000,1576.0000,2412.3501,435.2500,1598.7000,2424.0000,445.2000,2723288,6143298,8957930
111,2023-02-22,1520.6290,2370.5261,428.1157,1561.8000,2378.8999,429.4500,1575.0000,2430.0000,435.8500,1555.3000,2375.0500,428.2500,1563.0000,2425.9500,435.3000,3656244,5087729,7209130
112,2023-02-23,1509.8215,2359.1663,431.8541,1550.7000,2367.5000,433.2000,1569.8500,2394.7500,436.4500,1548.1500,2361.3501,427.2000,1569.8500,2378.0000,428.6500,4766854,4546655,9278920
113,2023-02-24,1509.7729,2375.3093,426.4210,1550.6500,2383.7000,427.7500,1569.0000,2396.1499,436.7000,1545.0000,2368.0000,427.0000,1560.0000,2372.0000,435.4000,2790986,4353814,7895024
114,2023-02-27,1469.5129,2359.5151,416.6514,1509.3000,2367.8501,417.9500,1540.0000,2389.6499,428.0500,1502.0000,2351.7000,413.0500,1540.0000,2382.0000,427.7500,4920268,5168667,10438928
115,2023-02-28,1448.3363,2314.3748,419.3929,1487.5500,2322.5500,420.7000,1524.0000,2367.0000,424.8000,1481.3000,2313.6499,419.0000,1515.6000,2356.1001,419.0000,9679811,10150245,9652088
116,2023-03-01,1456.6123,2335.6494,424.6764,1496.0500,2343.8999,426.0000,1500.8500,2345.5000,428.0000,1481.5000,2323.2500,421.5000,1492.4000,2344.0000,421.5000,5125043,5330852,7595114
117,2023-03-02,1433.3424,2317.8623,419.1437,1472.1500,2326.0500,420.4500,1488.6000,2351.6499,426.2500,1467.3000,2321.6001,419.5500,1485.0000,2337.0000,426.0000,4644499,4307425,5661103
118,2023-03-03,1440.3038,2377.0032,426.6702,1479.3000,2385.3999,428.0000,1489.8000,2393.4500,430.5000,1473.0000,2341.5500,421.9500,1486.7500,2349.1499,422.6000,4615015,6758115,8027522
119,2023-03-06,1467.7117,2400.2212,438.7326,1507.4500,2408.7000,440.1000,1520.4000,2424.6001,441.4500,1493.1500,2400.0000,430.0000,1494.5500,2400.0000,430.9500,6561742,4694338,11307064
120,2023-03-08,1453.3506,2408.8411,437.9351,1492.7000,2417.3501,439.3000,1496.0000,2419.0000,441.2500,1481.1000,2385.0000,436.1000,1490.5500,2408.7000,439.0000,4137080,7283694,7850052
121,2023-03-09,1441.3748,2350.9453,430.8571,1480.4000,2359.2500,432.2000,1498.3500,2416.8999,442.0500,1474.6000,2355.1001,431.3000,1495.0000,2416.0000,439.1000,5104656,7492509,5696737
122,2023-03-10,1432.7582,2314.5239,434.4958,1471.5500,2322.7000,435.8500,1474.3000,2344.0000,437.8000,1457.6500,2315.0500,430.8000,1460.0000,2341.5000,433.0000,3699580,6153681,10417015
123,2023-03-13,1397.2689,2276.4585,421.0876,1435.1000,2284.5000,422.4000,1478.3000,2344.0000,437.0000,1428.0000,2275.0000,419.1000,1464.2000,2329.0000,436.1000,8798403,5894088,8780169
124,2023-03-14,1382.5671,2267.9385,415.3555,1420.0000,2275.9500,416.6500,1448.3500,2304.9500,424.2000,1411.0000,2269.0500,413.4000,1441.0000,2280.0000,422.8500,7402784,7396699,9189043
125,2023-03-15,1382.2263,2229.1755,410.0719,1419.6500,2237.0500,411.3500,1442.8500,2298.3000,425.0000,1416.8500,2227.3999,410.1000,1438.0000,2284.1001,422.0000,7556182,10027725,7681009
126,2023-03-16,1367.0862,2218.0647,414.4084,1404.1000,2225.8999,415.7000,1417.8000,2254.0000,418.5000,1398.7000,2202.2000,405.0000,1417.8000,2243.0000,413.3000,7323117,8474595,11854885
127,2023-03-17,1383.2485,2215.2747,417.6982,1420.7000,2223.1001,419.0000,1442.9000,2251.9500,423.4500,1411.4000,2212.7000,414.5500,1430.0000,2244.7500,419.0000,9090018,15697554,8658701
128,2023-03-20,1366.6481,2193.5015,409.4738,1403.6500,2201.2500,410.7500,1419.7000,2220.0000,416.9500,1384.8500,2180.0000,405.5000,1419.7000,2215.0000,415.6000,8221829,9010595,10075022
129,2023-03-21,1354.0394,2261.7107,411.2682,1390.7000,2269.7000,412.5500,1405.0000,2274.0000,413.9000,1390.0000,2217.0000,407.7000,1399.0000,2218.9500,412.8500,8536755,9876263,7391950
130,2023-03-22,1352.6277,2268.5864,414.8072,1389.2500,2276.6001,416.1000,1407.2500,2291.4500,418.4000,1382.1500,2270.0000,413.7500,1403.0000,2285.0000,416.0000,8356487,5039622,5728054
131,2023-03-23,1338.3153,2239.8877,417.8477,1374.5500,2247.8000,419.1500,1383.9500,2269.8999,422.5000,1370.0000,2243.0500,416.0000,1383.9500,2268.0000,416.0000,7607718,7499082,9817460
132,2023-03-24,1344.2544,2195.5444,415.2059,1380.6500,2203.3000,416.5000,1398.9500,2250.0000,420.5500,1377.5000,2198.0000,414.8000,1388.0000,2245.2500,419.0000,7559127,5711497,6877960
133,2023-03-27,1352.3354,2229.6738,410.7697,1388.9500,2237.5500,412.0500,1395.7500,2254.0000,418.5000,1374.1000,2200.2000,410.2500,1386.2500,2217.5000,416.0000,4170193,6486068,7433933
134,2023-03-28,1341.2847,2240.0869,400.3522,1377.6000,2248.0000,401.6000,1398.0000,2256.5000,414.5000,1375.8500,2237.0000,400.4500,1392.1000,2245.0000,414.1500,6633366,5804018,9553659
135,2023-03-29,1347.0780,2226.8337,407.9286,1383.5500,2234.7000,409.2000,1389.9000,2244.8000,410.6000,1364.5500,2211.1001,401.6000,1379.0000,2239.0000,401.6000,8813966,8678073,10478506
136,2023-03-31,1390.3074,2322.8447,419.4926,1427.9500,2331.0500,420.8000,1429.9500,2343.4500,421.7500,1393.9000,2254.7000,411.0000,1404.0000,2255.0000,411.3500,8711975,13001005,11037881
137,2023-04-03,1373.6582,2323.2432,422.9319,1410.8500,2331.4500,424.2500,1435.0000,2349.0000,424.9500,1405.1500,2315.0000,419.5000,1435.0000,2345.0000,423.0000,5242764,4750238,6948329
138,2023-04-05,1386.0236,2317.6631,425.2247,1423.5500,2325.8501,426.5500,1427.5000,2348.0000,428.7500,1400.0000,2308.5500,423.1500,1400.0000,2348.0000,424.2500,7506334,7505339,8821326
139,2023-04-06,1384.4170,2333.2080,436.2902,1421.9000,2341.4500,437.6500,1428.4000,2354.0000,439.3000,1410.3500,2318.1499,423.7500,1416.0000,2318.1499,426.5000,6948465,8507771,10907492
140,2023-04-10,1389.9667,2316.6665,459.8667,1427.6000,2324.8501,461.3000,1434.0000,2350.3999,473.3000,1415.0000,2321.5500,452.0000,1423.9500,2350.0000,452.0500,4993788,5981688,50462653
141,2023-04-11,1369.0822,2328.1262,457.2748,1406.1500,2336.3501,458.7000,1433.3500,2341.0000,463.7500,1389.0000,2324.0500,455.8000,1428.9000,2334.0000,463.7500,6942255,4865301,14495222
142,2023-04-12,1390.6483,2338.3896,464.0537,1428.3000,2346.6499,465.5000,1431.5000,2367.8000,468.6000,1400.0000,2330.0500,458.2000,1413.0500,2336.3501,459.3500,5831169,8389646,13552440
143,2023-04-13,1352.5790,2347.2085,468.0413,1389.2000,2355.5000,469.5000,1411.0500,2365.8000,472.0000,1383.0000,2342.0000,463.2500,1409.7500,2353.0000,464.9500,11267238,5712541,12733670
144,2023-04-17,1225.1298,2359.1165,470.6830,1258.3000,2367.4500,472.1500,1261.1500,2424.9500,473.0000,1185.3000,2349.0500,465.8000,1250.3000,2424.9500,471.0000,53171705,8274452,10710167
145,2023-04-18,1226.1520,2332.1121,471.5304,1259.3500,2340.3501,473.0000,1269.9500,2377.0000,483.3500,1253.1000,2326.0000,468.1000,1269.9500,2377.0000,475.0000,12430884,4802172,16140056
146,2023-04-19,1199.7177,2343.7209,467.9416,1232.2000,2352.0000,469.4000,1254.3500,2357.8999,475.5000,1229.4000,2332.2000,467.8500,1254.3500,2339.0500,473.0000,11307230,5664207,7368610
147,2023-04-20,1191.1497,2337.7920,475.3186,1223.4000,2346.0500,476.8000,1237.8500,2359.0000,479.7000,1221.4000,2332.1001,469.4000,1230.7000,2354.1001,473.7000,8621249,3233882,14264206
148,2023-04-21,1194.9956,2340.7314,469.7360,1227.3500,2349.0000,471.2000,1233.2500,2361.0000,476.7000,1220.0000,2336.3999,467.2000,1228.1000,2350.6499,476.7000,8691352,3529236,8478118
149,2023-04-24,1193.9733,2349.6997,473.7236,1226.3000,2358.0000,475.2000,1230.0000,2380.8999,476.0000,1218.0000,2348.0000,468.3000,1228.0000,2375.0000,471.2000,8313774,5970048,8020593
150,2023-04-25,1192.6102,2367.6863,472.0787,1224.9000,2376.0500,473.5500,1235.5000,2380.6001,476.4000,1215.0000,2350.5000,471.9000,1225.9500,2366.0000,475.2000,6808576,4262471,6888352
151,2023-04-26,1195.1903,2353.7854,476.7142,1227.5500,2362.1001,478.2000,1233.0000,2386.1001,479.5000,1220.5500,2354.0500,472.6000,1228.0000,2379.0000,473.0000,5680192,3977129,7791425
152,2023-04-27,1213.3973,2368.6829,480.1037,1246.2500,2377.0500,481.6000,1247.8000,2384.0000,482.0000,1225.4000,2364.0000,476.5000,1230.0000,2375.0000,478.5000,8020704,4230627,7085793
153,2023-04-28,1219.7260,2411.9797,483.4433,1252.7500,2420.5000,484.9500,1259.0000,2423.8999,488.0000,1244.9500,2381.7500,478.3500,1255.7000,2382.0000,481.4000,10118277,7183342,9947813
154,2023-05-02,1243.7748,2432.4575,478.7578,1277.4500,2441.0500,480.2500,1279.7500,2445.8000,484.0000,1254.5500,2428.1001,474.5500,1254.5500,2436.2000,482.5000,8886401,5991101,11542592
155,2023-05-03,1235.6936,2411.5813,482.1971,1269.1500,2420.1001,483.7000,1272.5000,2445.0000,485.1000,1262.1000,2413.0500,477.7500,1266.0000,2445.0000,480.2500,5549783,3259053,8529233
156,2023-05-04,1239.9777,2439.3831,479.3061,1273.5500,2448.0000,480.8000,1275.8000,2452.8501,486.4000,1262.5000,2414.6001,478.7500,1268.9500,2421.1499,483.6000,4505401,3985159,5650101
157,2023-05-05,1225.9086,2433.1550,475.6176,1259.1000,2441.7500,477.1000,1279.0000,2461.3501,484.7000,1254.2500,2436.0000,476.1500,1279.0000,2441.0000,481.6500,5373791,4036548,4830674
158,2023-05-08,1232.2372,2463.1987,498.9449,1265.6000,2471.8999,500.5000,1270.3000,2483.6499,502.3000,1255.2000,2444.1499,478.1000,1262.4500,2450.0000,480.0000,5260842,4224469,23515333
159,2023-05-09,1237.2028,2470.8220,502.0851,1270.7000,2479.5500,503.6500,1272.0000,2486.8000,512.8000,1260.7000,2463.2500,501.5500,1266.0000,2475.0000,502.0000,4969897,2983468,19818780
160,2023-05-10,1229.9491,2487.8120,507.9170,1263.2500,2496.6001,509.5000,1276.4000,2499.8501,512.9000,1259.1500,2481.2000,504.3500,1276.4000,2490.0000,508.0000,6515734,5017544,12481404
161,2023-05-11,1222.9877,2471.5693,510.0105,1256.1000,2480.3000,511.6000,1275.9000,2509.5000,514.1500,1253.0500,2476.5500,505.5000,1270.2500,2498.9500,512.0000,6888461,4872451,11454020
162,2023-05-12,1212.3749,2475.6052,514.3469,1245.2000,2484.3501,515.9500,1256.0000,2487.3999,520.5000,1239.0500,2456.5000,510.3000,1253.3500,2469.8000,513.9000,8292212,3209889,19766717
163,2023-05-15,1225.1782,2480.4878,529.2006,1258.3500,2489.2500,530.8500,1268.9000,2504.5500,537.1500,1245.6500,2473.1499,521.5000,1249.9000,2489.8999,523.8500,5534710,3153587,38270067
164,2023-05-16,1230.9716,2445.1626,519.5308,1264.3000,2453.8000,521.1500,1273.9500,2499.6001,535.9500,1262.7500,2450.1499,518.8500,1265.0000,2494.0000,533.9500,5236469,4023000,16514882
165,2023-05-17,1214.0302,2430.7136,513.8983,1246.9000,2439.3000,515.5000,1260.9500,2465.0000,523.9500,1242.4500,2429.0000,512.5000,1260.6000,2463.0000,522.5000,10465667,4060722,13684847
